statisticalID,name,partOf,code,physicalType
MX20025,Chahuites,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX20026,Chalcatongo de Hidalgo,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX21045,Chalchicomula de Sesma,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX07022,Chalchihuitán,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX32009,Chalchihuites,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX15025,Chalco,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX30055,Chalma,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX04004,Champotón,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX07023,Chamula,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX07024,Chanal,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX31017,Chankom,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX15026,Chapa de Mota,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX31018,Chapab,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX14030,Chapala,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX13017,Chapantongo,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX21046,Chapulco,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX13018,Chapulhuacán,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX07025,Chapultenango,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX15027,Chapultepec,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX16021,Charapan,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX24015,Charcas,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
